ATS 9870 settings:
S-param: S21	Power level: -3	Port 1 Attn: 10
Port 2 Attn: 0	Ref (dB): 10	Resolution (dB): 10
Averaging?: ON		Average count: 500

!DATASTR!
Freq	data 
(GHz)	(dB or deg.)
3.048094940662086E+9	-1.353055381774902E+1
3.048407245471581E+9	-1.345774364471436E+1
3.048719550281075E+9	-1.349712753295898E+1
3.049031855090569E+9	-1.348409652709961E+1
3.049344159900063E+9	-1.352299118041992E+1
3.049656464709557E+9	-1.348506736755371E+1
3.049968769519051E+9	-1.336756420135498E+1
3.050281074328545E+9	-1.338300514221191E+1
3.050593379138039E+9	-1.331114006042480E+1
3.050905683947533E+9	-1.332236576080322E+1
3.051217988757027E+9	-1.323692798614502E+1
3.051530293566521E+9	-1.325788688659668E+1
3.051842598376015E+9	-1.320127487182617E+1
3.052154903185509E+9	-1.311425971984863E+1
3.052467207995003E+9	-1.303674697875977E+1
3.052779512804497E+9	-1.304681873321533E+1
3.053091817613991E+9	-1.298820972442627E+1
3.053404122423485E+9	-1.285302829742432E+1
3.053716427232979E+9	-1.297454166412354E+1
3.054028732042473E+9	-1.295447158813477E+1
3.054341036851967E+9	-1.298210811614990E+1
3.054653341661462E+9	-1.294401645660400E+1
3.054965646470956E+9	-1.289679813385010E+1
3.055277951280450E+9	-1.293225383758545E+1
3.055590256089944E+9	-1.281073284149170E+1
3.055902560899438E+9	-1.284743595123291E+1
3.056214865708932E+9	-1.285483455657959E+1
3.056527170518426E+9	-1.275068187713623E+1
3.056839475327920E+9	-1.275320720672607E+1
3.057151780137414E+9	-1.274664115905762E+1
3.057464084946908E+9	-1.271998786926270E+1
3.057776389756402E+9	-1.273553180694580E+1
3.058088694565897E+9	-1.267144203186035E+1
3.058400999375391E+9	-1.269814205169678E+1
3.058713304184885E+9	-1.266061019897461E+1
3.059025608994379E+9	-1.261024284362793E+1
3.059337913803873E+9	-1.256630897521973E+1
3.059650218613367E+9	-1.262708473205566E+1
3.059962523422861E+9	-1.253517055511475E+1
3.060274828232355E+9	-1.257344627380371E+1
3.060587133041849E+9	-1.245973968505859E+1
3.060899437851343E+9	-1.245922756195068E+1
3.061211742660837E+9	-1.249779033660889E+1
3.061524047470331E+9	-1.250296974182129E+1
3.061836352279825E+9	-1.246526718139648E+1
3.062148657089319E+9	-1.235186481475830E+1
3.062460961898813E+9	-1.239221668243408E+1
3.062773266708307E+9	-1.239401340484619E+1
3.063085571517801E+9	-1.244413185119629E+1
