ATS 9870 settings:
S-param: S21	Power level: -3	Port 1 Attn: 10
Port 2 Attn: 0	Ref (dB): 10	Resolution (dB): 10
Averaging?: ON		Average count: 500

!DATASTR!
Freq	data 
(GHz)	(dB or deg.)
3.151711430356028E+9	-1.413389492034912E+1
3.151723922548407E+9	-1.413284111022949E+1
3.151736414740787E+9	-1.408363819122314E+1
3.151748906933167E+9	-1.414304828643799E+1
3.151761399125546E+9	-1.417293453216553E+1
3.151773891317926E+9	-1.417196655273437E+1
3.151786383510306E+9	-1.426106166839600E+1
3.151798875702686E+9	-1.410231781005859E+1
3.151811367895066E+9	-1.420557308197021E+1
3.151823860087445E+9	-1.420246410369873E+1
3.151836352279825E+9	-1.422370719909668E+1
3.151848844472205E+9	-1.429056167602539E+1
3.151861336664585E+9	-1.414164352416992E+1
3.151873828856965E+9	-1.419519710540771E+1
3.151886321049344E+9	-1.409093761444092E+1
3.151898813241724E+9	-1.413365268707275E+1
3.151911305434103E+9	-1.416028785705566E+1
3.151923797626483E+9	-1.404481220245361E+1
3.151936289818863E+9	-1.416557693481445E+1
3.151948782011243E+9	-1.412851428985596E+1
3.151961274203623E+9	-1.409168052673340E+1
3.151973766396002E+9	-1.401345252990723E+1
3.151986258588382E+9	-1.409489536285400E+1
3.151998750780762E+9	-1.415865707397461E+1
3.152011242973142E+9	-1.408115005493164E+1
3.152023735165522E+9	-1.415891456604004E+1
3.152036227357901E+9	-1.414933586120605E+1
3.152048719550281E+9	-1.418200111389160E+1
3.152061211742661E+9	-1.423872280120850E+1
3.152073703935040E+9	-1.420157146453857E+1
3.152086196127420E+9	-1.408584403991699E+1
3.152098688319800E+9	-1.421899318695068E+1
3.152111180512180E+9	-1.416418170928955E+1
3.152123672704560E+9	-1.420922470092773E+1
3.152136164896939E+9	-1.419994831085205E+1
3.152148657089319E+9	-1.416899490356445E+1
3.152161149281699E+9	-1.424121952056885E+1
3.152173641474079E+9	-1.414259719848633E+1
3.152186133666459E+9	-1.427994918823242E+1
3.152198625858838E+9	-1.426414299011230E+1
3.152211118051218E+9	-1.420377445220947E+1
3.152223610243598E+9	-1.411527729034424E+1
3.152236102435977E+9	-1.420773887634277E+1
3.152248594628357E+9	-1.416240882873535E+1
3.152261086820737E+9	-1.421508026123047E+1
3.152273579013117E+9	-1.417140197753906E+1
3.152286071205497E+9	-1.413844203948975E+1
3.152298563397876E+9	-1.417404651641846E+1
