Profile 1             
x  y
[m]     [m]         
2.5836492e-007  4.4212179e-006            
2.6306247e-007  4.4211162e-006            
2.6776001e-007  4.42127e-006            
2.7245755e-007  4.4211806e-006            
2.771551e-007  4.4211573e-006            
2.8185264e-007  4.4210693e-006            
2.8655019e-007  4.4214588e-006            
2.9124773e-007  4.4230793e-006            
2.9594527e-007  4.4248532e-006            
3.0064282e-007  4.4257888e-006            
3.0534036e-007  4.4266318e-006            
3.1003791e-007  4.4269978e-006            
3.1473545e-007  4.4283135e-006            
3.1943299e-007  4.4280578e-006            
3.2413054e-007  4.4276301e-006            
3.2882808e-007  4.4272962e-006            
3.3352563e-007  4.427146e-006            
3.3822317e-007  4.4275353e-006            
3.4292072e-007  4.4280286e-006            
3.4761826e-007  4.4285445e-006            
3.523158e-007  4.4288717e-006            
3.5701335e-007  4.4294119e-006            
3.6171089e-007  4.4299351e-006            
3.6640844e-007  4.4303458e-006            
3.7110598e-007  4.4305193e-006            
3.7580352e-007  4.4309241e-006            
3.8050107e-007  4.4312701e-006            
3.8519861e-007  4.4316478e-006            
3.8989616e-007  4.4321286e-006            
3.945937e-007  4.4326981e-006            
3.9929124e-007  4.4332415e-006            
4.0398879e-007  4.4336658e-006            
4.0868633e-007  4.4343132e-006            
4.1338388e-007  4.4348188e-006            
4.1808142e-007  4.4354273e-006            
4.2277896e-007  4.4360341e-006            
4.2747651e-007  4.4365743e-006            
4.3217405e-007  4.4371131e-006            
4.368716e-007  4.4377722e-006            
4.4156914e-007  4.4383754e-006            
4.4626668e-007  4.4389857e-006            
4.5096423e-007  4.4396234e-006            
4.5566177e-007  4.4402621e-006            
4.6035932e-007  4.4408919e-006            
4.6505686e-007  4.4414859e-006            
4.697544e-007  4.4421596e-006            
4.7445195e-007  4.4427469e-006            
4.7914949e-007  4.4432903e-006            
4.8384704e-007  4.4440234e-006            
4.8854458e-007  4.4447174e-006            
4.9324212e-007  4.4453768e-006            
4.9793967e-007  4.4460127e-006            
5.0263721e-007  4.4468952e-006            
5.0733476e-007  4.4483439e-006            
5.120323e-007  4.4498388e-006            
5.1672984e-007  4.4509414e-006            
5.2142739e-007  4.4515459e-006            
5.2612493e-007  4.4518205e-006            
5.3082248e-007  4.4517848e-006            
5.3552002e-007  4.4513309e-006            
5.4021756e-007  4.4514773e-006            
5.4491511e-007  4.4519218e-006            
5.4961265e-007  4.4523332e-006            
5.543102e-007  4.452889e-006            
5.5900774e-007  4.4536333e-006            
5.6370529e-007  4.4542909e-006            
5.6840283e-007  4.4550599e-006            
5.7310037e-007  4.4558235e-006            
5.7779792e-007  4.4568989e-006            
5.8249546e-007  4.4573573e-006            
5.8719301e-007  4.4578506e-006            
5.9189055e-007  4.4580991e-006            
5.9658809e-007  4.4585194e-006            
6.0128564e-007  4.4589712e-006            
6.0598318e-007  4.4596072e-006            
6.1068073e-007  4.4602828e-006            
6.1537827e-007  4.4606933e-006            
6.2007581e-007  4.4613081e-006            
6.2477336e-007  4.4620479e-006            
6.294709e-007  4.4626522e-006            
6.3416845e-007  4.4632184e-006            
6.3886599e-007  4.4634634e-006            
6.4356353e-007  4.4637965e-006            
6.4826108e-007  4.4637146e-006            
6.5295862e-007  4.4638741e-006            
6.5765617e-007  4.4639491e-006            
6.6235371e-007  4.4642104e-006            
6.6705125e-007  4.4644692e-006            
6.717488e-007  4.4649908e-006            
6.7644634e-007  4.465544e-006            
6.8114389e-007  4.4660056e-006            
6.8584143e-007  4.4663091e-006            
6.9053897e-007  4.4664735e-006            
6.9523652e-007  4.466425e-006            
