Freq (GHz)	del S21 (fW)
3.105559e+00	7.998942e-01
3.105871e+00	1.009284e+00
3.106184e+00	1.137205e+00
3.106496e+00	1.208924e+00
3.106808e+00	1.173199e+00
3.107121e+00	1.033547e+00
3.107433e+00	8.091230e-01
3.107745e+00	1.153634e+00
3.108057e+00	1.275328e+00
3.108370e+00	1.313196e+00
3.108682e+00	1.363010e+00
3.108994e+00	1.468070e+00
3.109307e+00	1.425417e+00
3.109619e+00	1.312622e+00
3.109931e+00	1.381154e+00
3.110244e+00	1.412437e+00
3.110556e+00	1.358791e+00
3.110868e+00	1.395265e+00
3.111181e+00	1.413830e+00
3.111493e+00	1.397845e+00
3.111805e+00	1.430620e+00
3.112117e+00	1.459904e+00
3.112430e+00	1.169487e+00
3.112742e+00	1.491820e+00
3.113054e+00	1.575625e+00
3.113367e+00	1.332724e+00
3.113679e+00	1.432301e+00
3.113991e+00	1.355687e+00
3.114304e+00	1.455108e+00
3.114616e+00	1.297257e+00
3.114928e+00	1.561283e+00
3.115240e+00	1.512092e+00
3.115553e+00	1.362102e+00
3.115865e+00	1.568954e+00
3.116177e+00	1.513839e+00
3.116490e+00	1.549956e+00
3.116802e+00	1.503968e+00
3.117114e+00	1.581857e+00
3.117427e+00	1.560718e+00
3.117739e+00	1.533785e+00
3.118051e+00	1.516024e+00
3.118364e+00	1.633739e+00
3.118676e+00	1.261652e+00
3.118988e+00	1.399977e+00
3.119300e+00	9.498700e-01
3.119613e+00	1.373221e+00
3.119925e+00	1.501609e+00
3.120237e+00	1.247582e+00
3.120550e+00	1.359820e+00
3.120862e+00	1.343972e+00
3.121174e+00	1.051621e+00
3.121487e+00	1.329268e+00
3.121799e+00	1.170702e+00
3.122111e+00	1.258587e+00
3.122423e+00	1.165634e+00
3.122736e+00	1.042597e+00
3.123048e+00	1.157547e+00
3.123360e+00	1.081126e+00
3.123673e+00	1.234084e+00
3.123985e+00	1.102517e+00
3.124297e+00	9.304305e-01
3.124610e+00	1.215707e+00
3.124922e+00	1.087569e+00
3.125234e+00	1.019522e+00
3.125547e+00	9.524997e-01
3.125859e+00	1.156251e+00
3.126171e+00	1.211760e+00
3.126483e+00	1.039523e+00
3.126796e+00	8.394439e-01
3.127108e+00	5.465983e-01
3.127420e+00	6.934151e-01
3.127733e+00	7.673653e-01
3.128045e+00	6.226082e-01
3.128357e+00	7.997420e-01
3.128670e+00	6.506732e-01
3.128982e+00	7.388555e-01
3.129294e+00	6.655130e-01
3.129606e+00	1.267402e+00
3.129919e+00	7.540620e-01
3.130231e+00	1.054772e+00
3.130543e+00	9.902467e-01
3.130856e+00	1.144245e+00
3.131168e+00	1.039204e+00
3.131480e+00	1.088726e+00
3.131793e+00	1.221993e+00
3.132105e+00	1.137179e+00
3.132417e+00	1.165091e+00
3.132730e+00	1.110696e+00
3.133042e+00	9.652154e-01
3.133354e+00	1.105799e+00
3.133666e+00	1.022480e+00
3.133979e+00	1.256252e+00
3.134291e+00	1.368364e+00
3.134603e+00	1.272316e+00
3.134916e+00	1.156681e+00
3.135228e+00	1.268621e+00
3.135540e+00	1.367417e+00
3.135853e+00	1.327852e+00
3.136165e+00	1.212455e+00
3.136477e+00	1.146633e+00
3.136790e+00	1.553034e+00
3.137102e+00	1.583567e+00
3.137414e+00	1.672849e+00
3.137726e+00	1.774575e+00
3.138039e+00	1.685558e+00
3.138351e+00	1.672906e+00
3.138663e+00	1.774282e+00
3.138976e+00	1.787892e+00
3.139288e+00	1.650308e+00
3.139600e+00	2.017193e+00
3.139913e+00	2.166199e+00
3.140225e+00	2.269782e+00
3.140537e+00	2.377951e+00
3.140849e+00	2.475999e+00
3.141162e+00	2.319078e+00
3.141474e+00	2.348092e+00
3.141786e+00	2.738965e+00
3.142099e+00	2.703028e+00
3.142411e+00	2.858822e+00
3.142723e+00	2.968853e+00
3.143036e+00	3.193339e+00
3.143348e+00	3.023915e+00
3.143660e+00	3.179513e+00
3.143973e+00	3.253364e+00
3.144285e+00	3.320533e+00
3.144597e+00	3.392725e+00
3.144909e+00	3.631933e+00
3.145222e+00	3.208371e+00
3.145534e+00	3.685433e+00
3.145846e+00	3.715993e+00
3.146159e+00	3.658762e+00
3.146471e+00	3.897073e+00
3.146783e+00	3.956929e+00
3.147096e+00	3.654021e+00
3.147408e+00	3.866920e+00
3.147720e+00	3.994075e+00
3.148032e+00	4.156855e+00
3.148345e+00	4.101325e+00
3.148657e+00	4.237068e+00
3.148969e+00	3.983344e+00
3.149282e+00	4.139783e+00
3.149594e+00	4.299418e+00
3.149906e+00	4.311170e+00
3.150219e+00	3.951835e+00
3.150531e+00	4.465659e+00
3.150843e+00	4.433478e+00
3.151156e+00	4.491285e+00
3.151468e+00	4.650505e+00
3.151780e+00	4.581856e+00
3.152092e+00	4.775832e+00
3.152405e+00	4.870760e+00
3.152717e+00	5.044040e+00
3.153029e+00	5.027655e+00
3.153342e+00	5.160519e+00
3.153654e+00	5.217122e+00
3.153966e+00	5.478855e+00
3.154279e+00	5.786068e+00
3.154591e+00	5.972773e+00
3.154903e+00	6.233440e+00
3.155215e+00	6.389971e+00
3.155528e+00	6.752768e+00
3.155840e+00	7.077375e+00
3.156152e+00	7.051933e+00
3.156465e+00	7.490210e+00
3.156777e+00	7.818823e+00
3.157089e+00	8.117592e+00
3.157402e+00	8.601641e+00
3.157714e+00	8.880986e+00
3.158026e+00	9.422926e+00
3.158339e+00	9.817989e+00
3.158651e+00	1.028866e+01
3.158963e+00	1.067232e+01
3.159275e+00	1.108907e+01
3.159588e+00	1.158629e+01
3.159900e+00	1.202426e+01
3.160212e+00	1.247833e+01
3.160525e+00	1.279835e+01
3.160837e+00	1.320004e+01
3.161149e+00	1.348136e+01
3.161462e+00	1.376141e+01
3.161774e+00	1.392173e+01
3.162086e+00	1.396222e+01
3.162399e+00	1.399783e+01
3.162711e+00	1.390231e+01
3.163023e+00	1.375586e+01
3.163335e+00	1.347899e+01
3.163648e+00	1.313625e+01
3.163960e+00	1.280028e+01
3.164272e+00	1.230027e+01
3.164585e+00	1.184079e+01
3.164897e+00	1.144444e+01
3.165209e+00	1.095162e+01
3.165522e+00	1.043570e+01
3.165834e+00	9.813973e+00
3.166146e+00	9.549448e+00
3.166458e+00	9.120008e+00
3.166771e+00	8.702797e+00
3.167083e+00	8.344269e+00
3.167395e+00	8.049926e+00
3.167708e+00	7.634053e+00
